id_tela;tipo_tela;tela;ancho;peso;caracteristicas;rendimiento;encogimiento;precio;fecha_actualizacion;unidades_metros;Proveedor
1;Antifluidos;Antifluido Adidas ;1,5;;;;;6471;23/01/2025;0;El Mayorista
2;Antifluidos;Antifluido Adidas Es Mas Impermeable ;1,5;105 Gr ;100% Poliester;;;6600;23/01/2025;0;Quantto
3;Antifluidos;Antifluido Alviero Strech Lafshield;1,5;;;;;23166;23/01/2025;0;Lafayette
4;Antifluidos;Antifluido Alviero Strech Lafshield Estampada;1,5;;;;;26284;23/01/2025;0;Lafayette
5;Antifluidos;Antifluido Antimicrobial Microtec Cloro Antimicrobial;1,5;;;;;0;23/01/2025;0;Lafayette
6;Antifluidos;Antifluido Antimicrobial Microtec Cloro Antimicrobial  Estampado;1,5;;;;;0;23/01/2025;0;Lafayette
7;Antifluidos;Antifluido Antimicrobial Universal Cloro Antimicrobial;1,5;;;;;0;23/01/2025;0;Lafayette
8;Antifluidos;Antifluido Aqua Max Cloro Resistencia;1,5;140 Gr;;;;14698;23/01/2025;0;Icoltex
9;Antifluidos;Antifluido Astral (Se Parece Wembley Y Nike) ;1,5;115 Gr;100%Poliester ;;;7480;23/01/2025;0;Bella Tela
10;Antifluidos;Antifluido Balsillas ;1,5;;100% Poliester;;;4950;23/01/2025;0;Bella Tela
11;Antifluidos;Antifluido Betania;1,48;150 Gr;65%Poliester - 35%Viscosa Sensacion Frescura ;;;19255;23/01/2025;0;Lafayette
12;Antifluidos;Antifluido Boston Navy ;1,5;;;;;11345;23/01/2025;0;Texticorp
13;Antifluidos;Antifluido Caribe Cloro Resistente;1,5;;;;;23215;23/01/2025;0;Lafayette
14;Antifluidos;Antifluido Caribe Cloro Resistente;1,5;;Estampado;;;26235;23/01/2025;0;Lafayette
15;Antifluidos;Antifluido Cooper;1,5;62-67 Gr;Repelente Al Agua No Impermeable Tipo Cortaviento ;;;8800;23/01/2025;0;Stilotex
16;Antifluidos;Antifluido Cosmos ;1,53;;;;;19255;23/01/2025;0;Lafayette
17;Antifluidos;Antifluido Cosmos  Estampado;1,53;;;;;21879;23/01/2025;0;Lafayette
18;Antifluidos;Antifluido Country;1,53;;100% Poliester ;;;6710;23/01/2025;0;Quantto
19;Antifluidos;Antifluido De 8 Homologa Universal De 3;;;;;;7590;23/01/2025;0;Tramas
20;Antifluidos;Antifluido Durango;1,5;;;;;22225;23/01/2025;0;Lafayette
21;Antifluidos;Antifluido Electra ;1,5;;100% Poliester Pelicula Clororesistencia;;;18150;23/01/2025;0;Margaretex
22;Antifluidos;Antifluido Kae Se Parece Al Tequila Es Opaco ;1,6;;;;;10450;23/01/2025;0;Comertex
